"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"720","6245","Triturus cristatus dobrogicus","Deletion","Triturus dobrogicus","1993","Remains"
"721","6248","Triturus cristatus karelinii","Deletion","Triturus karelinii","1171","Remains"
"722","2355","Triturus helveticus","Deletion","Lissotriton helveticus","not found in Natura2000 List","not available"
"723","1168","Triturus italicus","Deletion","Lissotriton italicus","6956","Addition"
"724","6076","Tropidophoxinellus alburnoides","Deletion","Squalius alburnoides","6975","Addition"
"725","6076","Tropidophoxinellus alburnoides","Deletion","Rutilus alburnoides","not found in Natura2000 List","not available"
"726","6113","Vespertilio kuhlii","Deletion","Pipistrellus kuhlii","2016","Remains"
"727","5963","Vespertilio savii","Deletion","Hypsugo savii","5365","Remains"
"728","5963","Vespertilio savii","Deletion","Pipistrellus savii","not found in Natura2000 List","not available"
"729","6099","Vespertillo discolor","Deletion","Vespertilio murinus","1332","Remains"
"730","5901","Vimba vimba","Deletion","Vimba vimba tenella","not found in Natura2000 List","not available"
"731","6024","Vimba vimba tenella","Deletion","Vimba vimba","not found in Natura2000 List","not available"
"732","6025","Vipera aspis hugy","Deletion","Vipera aspis hugyi","not found in Natura2000 List","not available"
"733","5903","Vipera aspis hugyi","Deletion","Vipera aspis hugy","not found in Natura2000 List","not available"
"734","5903","Vipera aspis hugyi","Deletion","Vipera hugyi","not found in Natura2000 List","not available"
"735","2473","Vipera berus","Deletion","Vipera vipera","not found in Natura2000 List","not available"
"736","6026","Vipera hugyi","Deletion","Vipera aspis hugyi","not found in Natura2000 List","not available"
"737","5904","Vipera latastei","Deletion","Vipera latasti","not found in Natura2000 List","not available"
"738","6027","Vipera latasti","Deletion","Vipera latastei","not found in Natura2000 List","not available"
"739","5997","Vipera lebetina","Deletion","Macrovipera lebetina","not found in Natura2000 List","not available"
"740","6252","Vipera lebetina schweizeri","Deletion","Macrovipera schweizeri","1296","Remains"
"741","6097","Vipera schweizeri","Deletion","Macrovipera schweizeri","1296","Remains"
"742","6119","Vipera vipera","Deletion","Vipera berus","not found in Natura2000 List","not available"
"743","5906","Vulpes vulpes","Deletion","Vulpes vulpes ichnusae","not found in Natura2000 List","not available"
"744","5906","Vulpes vulpes","Deletion","Vulpes vulpes indutus","not found in Natura2000 List","not available"
"745","6029","Vulpes vulpes ichnusae","Deletion","Vulpes vulpes","not found in Natura2000 List","not available"
"746","6028","Vulpes vulpes indutus","Deletion","Vulpes vulpes","not found in Natura2000 List","not available"
"747","1767","Wagenitzia lancifolia","Deletion","Centaurea lancifolia","7003","Addition"
"748","5910","Zootoca vivipara","Deletion","Lacerta vivipara","not found in Natura2000 List","not available"
"749","5995","Zootoca vivipara carniolica","Deletion","Lacerta vivipara carniolica","not found in Natura2000 List","not available"
"750","6015","Ztizostedion volgense","Deletion","Sander volgensis","not found in Natura2000 List","not available"
"751","A745","Carduelis chloris","Deletion","Chloris chloris","A363","Remains"
"752","A746","Miliaria calandra","Deletion","Emberiza calandra","A383","Remains"
