"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"875","5743","Mustela putorius putorius","Deletion","Mustela putorius putorius Linnaeus, 1758","Accepted","Mustela putorius","Linnaeus, 1758","1358","Mustela putorius putorius","Remains","Accepted - Remains","SPECIES:Mustela putorius Linnaeus, 1758|GENUS:Mustela Linnaeus, 1758|SUBFAMILY:Mustelinae G. Fischer von Waldheim, 1817|FAMILY:Mustelidae G. Fischer von Waldheim, 1817|SUBORDER:Caniformia Kretzoi, 1938|ORDER:Carnivora Bowdich, 1821|INFRACLASS:Eutheria Gill, 1872|SUBCLASS:Theria Parker & Haswell, 1897|CLASS:Mammalia Linnaeus, 1758|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"876","5744","Mustelus mustelus","Deletion","Mustelus mustelus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"877","5745","Mycteroperca fusca","Deletion","Mycteroperca fusca (Lowe, 1838)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"878","5746","Mycteroperca rubra","Deletion","Mycteroperca rubra (Bloch, 1793)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"879","5747","Myocastor coypus","Deletion","Myocastor coypus (Molina, 1782)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"880","5748","Myopus schisticolor","Deletion","Myopus schisticolor (Lilljeborg, 1844)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"881","5749","Myotis blythii omari","Deletion","Myotis (Myotis) blythii (Tomes, 1857)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"882","5750","Myotis capaccinii capaccinii","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"883","5366","Myotis escalarai","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"884","5006","Myotis schaubi","Deletion","Myotis (Myotis) schaubi Kormos, 1934","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"885","6023","Myoxocephalus quadricornis","Deletion","Myoxocephalus quadricornis (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"886","5968","Myoxus glis","Deletion","Glis glis (Linnaeus, 1766)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"887","1435","Myrica rivas-martinezii","Deletion","Morella rivas-martinezii A. Santos & J. Herb.","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
