"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"1","A748","Alopochen aegyptiaca","Deletion","Alopochen aegyptiaca (Linnaeus, 1766)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"2","A750","Oxyura jamaicensis","Deletion","Oxyura jamaicensis (J. F. Gmelin, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"3","A758","Threskiornis aethiopicus","Deletion","Threskiornis aethiopicus (Latham, 1790)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"4","A761","Myiopsitta monachus","Deletion","Myiopsitta monachus (Boddaert, 1783)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"5","A765","Acridotheres cristatellus","Deletion","Acridotheres cristatellus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"6","A011","Puffinus gravis","Deletion","Puffinus gravis (O'Reilly, 1818)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"7","A012","Puffinus griseus","Deletion","Puffinus griseus (Gmelin, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"8","A015","Oceanodroma leucorhoa","Deletion","Oceanodroma leucorhoa (Vieillot, 1818)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"9","A027","Egretta alba","Deletion","Ardea alba Linnaeus, 1758","Synonym","Ardea alba","(Linnaeus, 1758)","A773","Ardea alba","Addition","Synonym - Addition","SPECIES:Ardea alba Linnaeus, 1758|GENUS:Ardea Linnaeus, 1758|SUBFAMILY:Ardeinae Leach, 1820|FAMILY:Ardeidae Leach, 1820|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"10","A033","Geronticus eremita","Deletion","Geronticus eremita (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"11","A050","Anas penelope","Deletion","Mareca penelope (Linnaeus, 1758)","Synonym","Mareca penelope","Linnaeus, 1758","A855","Mareca penelope","Addition","Synonym - Addition","SPECIES:Mareca penelope (Linnaeus, 1758)|GENUS:Mareca Stephens, 1824|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"12","A051","Anas strepera","Deletion","Mareca strepera strepera (Linnaeus, 1758)","Synonym","Mareca strepera","Linnaeus, 1758","A889","Mareca strepera strepera","Addition","Synonym - Addition","SUBSPECIES:Mareca strepera strepera (Linnaeus, 1758)|SPECIES:Mareca strepera (Linnaeus, 1758)|GENUS:Mareca Stephens, 1824|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"13","A055","Anas querquedula","Deletion","Spatula querquedula (Linnaeus, 1758)","Synonym","Spatula querquedula","Linnaeus, 1758","A856","Spatula querquedula","Addition","Synonym - Addition","SPECIES:Spatula querquedula (Linnaeus, 1758)|GENUS:Spatula F. Boie, 1822|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"14","A056","Anas clypeata","Deletion","Spatula clypeata (Linnaeus, 1758)","Synonym","Spatula clypeata","Linnaeus, 1758","A857","Spatula clypeata","Addition","Synonym - Addition","SPECIES:Spatula clypeata (Linnaeus, 1758)|GENUS:Spatula F. Boie, 1822|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"15","A068","Mergus albellus","Deletion","Mergellus albellus (Linnaeus, 1758)","Synonym","Mergellus albellus","Linnaeus, 1758","A767","Mergellus albellus","Addition","Synonym - Addition","SPECIES:Mergellus albellus (Linnaeus, 1758)|GENUS:Mergellus Selby, 1840|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"16","A089","Aquila pomarina","Deletion","Aquila pomarina C. L. Brehm, 1831","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"17","A090","Aquila clanga","Deletion","Aquila clanga Pallas, 1811","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"18","A093","Hieraaetus fasciatus","Deletion","Aquila fasciata Vieillot, 1822","Synonym","Aquila fasciata","(Vieillot, 1822)","A707","Aquila fasciata","Addition","Synonym - Addition","SPECIES:Aquila fasciata Vieillot, 1822|GENUS:Aquila Brisson, 1760|FAMILY:Accipitridae Vigors, 1824|ORDER:Accipitriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"19","A106","Lagopus mutus","Deletion","Lagopus muta (Montin, 1781)","Accepted","Lagopus muta","(Montin, 1781)","A839","Lagopus muta","Addition","Accepted - Addition","GENUS:Lagopus Brisson, 1760|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"20","A107","Tetrao tetrix","Deletion","Lyrurus tetrix tetrix (Linnaeus, 1758)","Synonym","Lyrurus tetrix","Linnaeus, 1758","A909","Lyrurus tetrix tetrix","Addition","Synonym - Addition","SUBSPECIES:Lyrurus tetrix tetrix (Linnaeus, 1758)|SPECIES:Lyrurus tetrix (Linnaeus, 1758)|GENUS:Lyrurus Swainson, 1832|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"21","A117","Turnix sylvatica","Deletion","Turnix sylvaticus (Desfontaines, 1789)","Accepted","Turnix sylvaticus","(Desfontaines, 1789)","A717","Turnix sylvaticus","Addition","Accepted - Addition","GENUS:Turnix Bonnaterre, 1791|FAMILY:Turnicidae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"22","A120","Porzana parva","Deletion","Porzana parva (Scopoli, 1769)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"23","A121","Porzana pusilla","Deletion","Porzana pusilla (Pallas, 1776)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"24","A139","Charadrius morinellus","Deletion","Charadrius morinellus Linnaeus, 1758","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"25","A150","Limicola falcinellus","Deletion","Calidris falcinellus (Pontoppidan, 1763)","Synonym","Calidris falcinellus","(Pontoppidan, 1763)","A860","Calidris falcinellus","Addition","Synonym - Addition","SPECIES:Calidris falcinellus (Pontoppidan, 1763)|GENUS:Calidris Merrem, 1804|FAMILY:Scolopacidae Rafinesque, 1815|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"26","A151","Philomachus pugnax","Deletion","Calidris pugnax (Linnaeus, 1758)","Synonym","Calidris pugnax","(Linnaeus, 1758)","A861","Calidris pugnax","Addition","Synonym - Addition","SPECIES:Calidris pugnax (Linnaeus, 1758)|GENUS:Calidris Merrem, 1804|FAMILY:Scolopacidae Rafinesque, 1815|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"27","A177","Larus minutus","Deletion","Hydrocoloeus minutus (Pallas, 1776)","Synonym","Hydrocoloeus minutus","Pallas, 1776","A862","Hydrocoloeus minutus","Addition","Synonym - Addition","SPECIES:Hydrocoloeus minutus (Pallas, 1776)|GENUS:Hydrocoloeus Kaup, 1829|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"28","A190","Sterna caspia","Deletion","Hydroprogne caspia (Pallas, 1770)","Synonym","Hydroprogne caspia","Pallas, 1770","A894","Hydroprogne caspia","Addition","Synonym - Addition","SPECIES:Hydroprogne caspia (Pallas, 1770)|GENUS:Hydroprogne Kaup, 1829|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"29","A191","Sterna sandvicensis","Deletion","Thalasseus sandvicensis (Latham, 1787)","Synonym","Thalasseus sandvicensis","Latham, 1787","A863","Thalasseus sandvicensis","Addition","Synonym - Addition","SPECIES:Thalasseus sandvicensis (Latham, 1787)|GENUS:Thalasseus F. Boie, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"30","A195","Sterna albifrons","Deletion","Sternula albifrons albifrons (Pallas, 1764)","Synonym","Sternula albifrons","Pallas, 1764","A885","Sternula albifrons albifrons","Addition","Synonym - Addition","SUBSPECIES:Sternula albifrons albifrons (Pallas, 1764)|SPECIES:Sternula albifrons (Pallas, 1764)|GENUS:Sternula F. Boie, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"31","A196","Chlidonias hybridus","Deletion","Chlidonias hybrida (Pallas, 1811)","Accepted","Chlidonias hybrida","(Pallas, 1811)","A734","Chlidonias hybrida","Addition","Accepted - Addition","GENUS:Chlidonias Rafinesque, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"32","A216","Nyctea scandiaca","Deletion","Bubo scandiacus (Linnaeus, 1758)","Synonym","Bubo scandiacus","(Linnaeus, 1758)","A736","Bubo scandiacus","Addition","Synonym - Addition","SPECIES:Bubo scandiacus (Linnaeus, 1758)|GENUS:Bubo Duméril, 1805|SUBFAMILY:Striginae|FAMILY:Strigidae|ORDER:Strigiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"33","A238","Dendrocopos medius","Deletion","Dendrocoptes medius (Linnaeus, 1758)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"34","A240","Dendrocopos minor","Deletion","Dryobates minor (Linnaeus, 1758)","Synonym","Dryobates minor","(Linnaeus, 1758)","A869","Dryobates minor","Addition","Synonym - Addition","SPECIES:Dryobates minor (Linnaeus, 1758)|GENUS:Dryobates F. Boie, 1826|SUBFAMILY:Picinae|FAMILY:Picidae|ORDER:Piciformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"35","A252","Hirundo daurica","Deletion","Cecropis daurica (Laxmann, 1769)","Synonym","Cecropis daurica","Laxmann, 1769","A479","Cecropis daurica","Addition","Synonym - Addition","SPECIES:Cecropis daurica (Laxmann, 1769)|GENUS:Cecropis F. Boie, 1826|FAMILY:Hirundinidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"36","A253","Delichon urbica","Deletion","Delichon urbicum (Linnaeus, 1758)","Accepted","Delichon urbicum","(Linnaeus, 1758)","A738","Delichon urbicum","Addition","Accepted - Addition","GENUS:Delichon Moore, 1854|FAMILY:Hirundinidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"37","A254","Anthus richardi","Deletion","Anthus richardi Vieillot, 1818","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"38","A272","Luscinia svecica","Deletion","Luscinia svecica (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"39","A325","Parus palustris","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"40","A326","Parus montanus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"41","A327","Parus cristatus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"42","A328","Parus ater","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"43","A329","Parus caeruleus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"44","A353","Sturnus roseus","Deletion","Pastor roseus (Linnaeus, 1758)","Synonym","Pastor roseus","(Linnaeus, 1758)","A494","Pastor roseus","Addition","Synonym - Addition","SPECIES:Pastor roseus (Linnaeus, 1758)|GENUS:Pastor Temminck, 1815|FAMILY:Sturnidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"45","A365","Carduelis spinus","Deletion","Spinus spinus (Linnaeus, 1758)","Synonym","Spinus spinus","(Linnaeus, 1758)","A478","Spinus spinus","Addition","Synonym - Addition","SPECIES:Spinus spinus (Linnaeus, 1758)|GENUS:Spinus Koch, 1816|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"46","A366","Carduelis cannabina","Deletion","Linaria cannabina (Linnaeus, 1758)","Synonym","Linaria cannabina","(Linnaeus, 1758)","A476","Linaria cannabina","Addition","Synonym - Addition","SPECIES:Linaria cannabina (Linnaeus, 1758)|GENUS:Linaria Bechstein, 1802|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"47","A367","Carduelis flavirostris","Deletion","Linaria flavirostris (Linnaeus, 1758)","Synonym","Linaria flavirostris","(Linnaeus, 1758)","A477","Linaria flavirostris","Addition","Synonym - Addition","SPECIES:Linaria flavirostris (Linnaeus, 1758)|GENUS:Linaria Bechstein, 1802|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"48","A368","Carduelis flammea","Deletion","Acanthis flammea (Linnaeus, 1758)","Synonym","Acanthis flammea","(Linnaeus, 1758)","A474","Acanthis flammea","Addition","Synonym - Addition","SPECIES:Acanthis flammea (Linnaeus, 1758)|GENUS:Acanthis von Borkhausen, 1797|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"49","A384","Puffinus puffinus mauretanicus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"50","A390","Oceanodroma castro","Deletion","Oceanodroma castro (Harcourt, 1851)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"51","A393","Phalacrocorax pygmeus","Deletion","Microcarbo pygmeus (Pallas, 1773)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"52","A407","Lagopus mutus pyrenaicus","Deletion","Lagopus muta pyrenaica E. Hartert, 1921","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"53","A408","Lagopus mutus helveticus","Deletion","Lagopus muta helvetica (Thienemann, 1829)","Accepted","Lagopus muta","(Thienemann, 1829)","A839","Lagopus muta helvetica","Addition","Accepted - Addition","SPECIES:Lagopus muta (Montin, 1781)|GENUS:Lagopus Brisson, 1760|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"54","A409","Tetrao tetrix tetrix","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"55","A410","Tetrao tetrix britannicus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"56","A418","Hoplopterus spinosus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"57","A431","Calandrella rufescens","Deletion","Calandrella rufescens (Vieillot, 1819)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"58","A436","Oenanthe leucopyga","Deletion","Oenanthe leucopyga (C. L. Brehm, 1855)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"59","A443","Parus lugubris","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"60","A454","Cyanopica cyanus","Deletion","Cyanopica cyanus (Pallas, 1776)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"61","A462","Lagopus lagopus scoticus","Deletion","Lagopus lagopus scotica (Latham, 1787)","Accepted","Lagopus lagopus","(Latham, 1787)","A105","Lagopus lagopus scotica","Remains","Accepted - Remains","SPECIES:Lagopus lagopus (Linnaeus, 1758)|GENUS:Lagopus Brisson, 1760|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"62","A470","Parus ater cypriotes","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"63","A501","Pycnonotus barbatus","Deletion","Pycnonotus barbatus (Desfontaines, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"64","A503","Procellaria diomedea","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"65","A507","Somateria spectabilis","Deletion","Somateria spectabilis (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"66","A508","Accipiter gentilis strigonii","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"67","A510","Aquila rapax","Deletion","Aquila rapax (Temminck, 1828)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"68","A517","Phalaropus tricolor","Deletion","Phalaropus tricolor (Vieillot, 1819)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"69","A518","Tringa cinerea","Deletion","Xenus cinereus (Güldenstädt, 1775)","Synonym","Xenus cinereus","(Güldenstädt, 1775)","A167","Xenus cinereus","Remains","Synonym - Remains","SPECIES:Xenus cinereus (Güldenstädt, 1775)|GENUS:Xenus Kaup, 1829|FAMILY:Scolopacidae Rafinesque, 1815|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"70","A520","Ketupa zeylonensis","Deletion","Ketupa zeylonensis (J. F. Gmelin, 1788)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"71","A521","Otus brucei","Deletion","Otus brucei (Hume, 1872)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"72","A524","Melanocorypha leucoptera","Deletion","Melanocorypha leucoptera (Pallas, 1811)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"73","A526","Anthus novaeseelandiae","Deletion","Anthus novaeseelandiae (Gmelin, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"74","A527","Motacilla finere","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"75","A528","Prunella atrogularis","Deletion","Prunella atrogularis (Brandt, 1843)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"76","A529","Prunella montanella","Deletion","Prunella montanella (Pallas, 1776)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"77","A531","Irania gutturalis","Deletion","Irania gutturalis (Guerin-Meneville, 1843)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"78","A535","Regulus teneriffae","Deletion","Regulus regulus teneriffae Seebohm, 1883","Synonym","Regulus regulus","Seebohm, 1883","A317","Regulus regulus teneriffae","Remains","Synonym - Remains","SUBSPECIES:Regulus regulus teneriffae Seebohm, 1883|SPECIES:Regulus regulus (Linnaeus, 1758)|GENUS:Regulus Cuvier, 1800|FAMILY:Regulidae Vigors, 1825|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"79","A537","Parus cinctus","Deletion","Poecile cinctus (Boddaert, 1783)","Synonym","Poecile cinctus","Boddaert, 1783","A490","Poecile cinctus","Addition","Synonym - Addition","SPECIES:Poecile cinctus (Boddaert, 1783)|GENUS:Poecile Kaup, 1829|FAMILY:Paridae Vigors, 1825|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"80","A538","Parus cyanus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"81","A539","Sitta tephronota","Deletion","Sitta tephronota Sharpe, 1872","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"82","A543","Carduelis hornemanni","Deletion","Acanthis hornemanni (Holböll, 1843)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"83","A546","Rhodopechys githaginea","Deletion","Bucanetes githagineus (M. H. K. Lichtenstein, 1823)","Synonym","Bucanetes githagineus","(M. H. K. Lichtenstein, 1823)","A452","Bucanetes githagineus","Remains","Synonym - Remains","SPECIES:Bucanetes githagineus (M. H. K. Lichtenstein, 1823)|GENUS:Bucanetes Cabanis, 1851|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"84","A547","Serinus pusillus","Deletion","Serinus pusillus (Pallas, 1811)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"85","A549","Podiceps caspicus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"86","A550","Pterodroma mollis","Deletion","Pterodroma mollis (Gould, 1844)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"87","A551","Botaurus lentiginosus","Deletion","Botaurus lentiginosus (Rackett, 1813)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"88","A552","Butorides virescens","Deletion","Butorides virescens (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"89","A554","Alopochen aegyptiacus","Deletion","Alopochen aegyptiaca (Linnaeus, 1766)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"90","A559","Haematopus moquini","Deletion","Haematopus moquini Bonaparte, 1856","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"91","A561","Calidris mauri","Deletion","Calidris mauri (Cabanis, 1857)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"92","A563","Larus delawarensis","Deletion","Larus delawarensis Ord, 1815","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
