"x"
"Gavia immer"
"Tachybaptus ruficollis"
"Podiceps cristatus"
"Podiceps grisegena"
"Podiceps auritus"
"Podiceps nigricollis"
"Fulmarus glacialis"
"Calonectris diomedea"
"Puffinus gravis"
"Puffinus griseus"
"Puffinus puffinus"
"Hydrobates pelagicus"
"Oceanodroma leucorhoa"
"Morus bassanus"
"Phalacrocorax carbo"
"Phalacrocorax aristotelis"
"Pelecanus onocrotalus"
"Pelecanus crispus"
"Botaurus stellaris"
"Ixobrychus minutus"
"Nycticorax nycticorax"
"Ardeola ralloides"
"Bubulcus ibis"
"Egretta garzetta"
"Egretta alba"
"Ardea cinerea"
"Ardea purpurea"
"Ciconia nigra"
"Ciconia ciconia"
"Plegadis falcinellus"
"Geronticus eremita"
"Platalea leucorodia"
"Phoenicopterus ruber"
"Cygnus olor"
"Cygnus columbianus bewickii"
"Cygnus cygnus"
"Anser fabalis"
"Anser brachyrhynchus"
"Anser albifrons"
"Anser erythropus"
"Anser anser"
"Branta canadensis"
"Branta leucopsis"
"Branta bernicla"
"Tadorna tadorna"
"Anas penelope"
"Anas strepera"
"Anas crecca"
"Anas platyrhynchos"
"Anas acuta"
"Anas querquedula"
"Anas clypeata"
"Marmaronetta angustirostris"
"Netta rufina"
"Aythya ferina"
"Aythya nyroca"
"Aythya fuligula"
"Aythya marila"
"Somateria mollissima"
"Clangula hyemalis"
"Melanitta nigra"
"Melanitta fusca"
"Bucephala clangula"
"Mergus albellus"
"Mergus serrator"
"Mergus merganser"
"Oxyura leucocephala"
"Pernis apivorus"
"Milvus migrans"
"Milvus milvus"
"Haliaeetus albicilla"
"Gypaetus barbatus"
"Neophron percnopterus"
"Gyps fulvus"
"Aegypius monachus"
"Circaetus gallicus"
"Circus aeruginosus"
"Circus cyaneus"
"Circus macrourus"
"Circus pygargus"
"Accipiter gentilis"
"Accipiter nisus"
"Buteo buteo"
"Buteo lagopus"
"Aquila pomarina"
"Aquila clanga"
"Aquila chrysaetos"
"Hieraaetus pennatus"
"Hieraaetus fasciatus"
"Pandion haliaetus"
"Falco naumanni"
"Falco tinnunculus"
"Falco vespertinus"
"Falco columbarius"
"Falco subbuteo"
"Falco eleonorae"
"Falco biarmicus"
"Falco rusticolus"
"Falco peregrinus"
"Bonasa bonasia"
"Lagopus lagopus"
"Lagopus mutus"
"Tetrao tetrix"
"Tetrao urogallus"
"Alectoris graeca"
"Alectoris rufa"
"Alectoris barbara"
"Perdix perdix"
"Coturnix coturnix"
"Phasianus colchicus"
"Turnix sylvatica"
"Rallus aquaticus"
"Porzana porzana"
"Porzana parva"
"Porzana pusilla"
"Crex crex"
"Gallinula chloropus"
"Porphyrio porphyrio"
"Fulica atra"
"Fulica cristata"
"Grus grus"
"Tetrax tetrax"
"Otis tarda"
"Haematopus ostralegus"
"Himantopus himantopus"
"Recurvirostra avosetta"
"Burhinus oedicnemus"
"Cursorius cursor"
"Glareola pratincola"
"Charadrius dubius"
"Charadrius hiaticula"
"Charadrius alexandrinus"
"Charadrius morinellus"
"Pluvialis apricaria"
"Pluvialis squatarola"
"Vanellus vanellus"
"Calidris canutus"
"Calidris alba"
"Calidris minuta"
"Calidris temminckii"
"Calidris ferruginea"
"Calidris maritima"
"Calidris alpina"
"Limicola falcinellus"
"Philomachus pugnax"
"Lymnocryptes minimus"
"Gallinago gallinago"
"Gallinago media"
"Scolopax rusticola"
"Limosa limosa"
"Limosa lapponica"
"Numenius phaeopus"
"Numenius tenuirostris"
"Numenius arquata"
"Tringa erythropus"
"Tringa totanus"
"Tringa stagnatilis"
"Tringa nebularia"
"Tringa ochropus"
"Tringa glareola"
"Xenus cinereus"
"Actitis hypoleucos"
"Arenaria interpres"
"Phalaropus lobatus"
"Phalaropus fulicarius"
"Stercorarius pomarinus"
"Stercorarius parasiticus"
"Stercorarius longicaudus"
"Catharacta skua"
"Larus melanocephalus"
"Larus minutus"
"Larus sabini"
"Larus ridibundus"
"Larus genei"
"Larus audouinii"
"Larus canus"
"Larus fuscus"
"Larus argentatus"
"Larus glaucoides"
"Larus hyperboreus"
"Larus marinus"
"Rissa tridactyla"
"Gelochelidon nilotica"
"Sterna caspia"
"Sterna sandvicensis"
"Sterna dougallii"
"Sterna hirundo"
"Sterna paradisaea"
"Sterna albifrons"
"Chlidonias hybridus"
"Chlidonias niger"
"Chlidonias leucopterus"
"Uria aalge"
"Alca torda"
"Cepphus grylle"
"Alle alle"
"Fratercula arctica"
"Pterocles alchata"
"Columba livia"
"Columba oenas"
"Columba palumbus"
"Streptopelia decaocto"
"Streptopelia turtur"
"Clamator glandarius"
"Cuculus canorus"
"Tyto alba"
"Otus scops"
"Bubo bubo"
"Nyctea scandiaca"
"Glaucidium passerinum"
"Athene noctua"
"Strix aluco"
"Strix uralensis"
"Asio otus"
"Asio flammeus"
"Aegolius funereus"
"Caprimulgus europaeus"
"Caprimulgus ruficollis"
"Apus apus"
"Apus pallidus"
"Tachymarptis melba"
"Alcedo atthis"
"Merops apiaster"
"Coracias garrulus"
"Upupa epops"
"Jynx torquilla"
"Picus canus"
"Picus viridis"
"Dryocopus martius"
"Dendrocopos major"
"Dendrocopos medius"
"Dendrocopos leucotos"
"Dendrocopos minor"
"Picoides tridactylus"
"Melanocorypha calandra"
"Calandrella brachydactyla"
"Galerida cristata"
"Galerida theklae"
"Lullula arborea"
"Alauda arvensis"
"Eremophila alpestris"
"Riparia riparia"
"Ptyonoprogne rupestris"
"Hirundo rustica"
"Hirundo daurica"
"Delichon urbica"
"Anthus richardi"
"Anthus campestris"
"Anthus trivialis"
"Anthus pratensis"
"Anthus cervinus"
"Anthus spinoletta"
"Motacilla flava"
"Motacilla cinerea"
"Motacilla alba"
"Bombycilla garrulus"
"Cinclus cinclus"
"Troglodytes troglodytes"
"Prunella modularis"
"Prunella collaris"
"Cercotrichas galactotes"
"Erithacus rubecula"
"Luscinia luscinia"
"Luscinia megarhynchos"
"Luscinia svecica"
"Phoenicurus ochruros"
"Phoenicurus phoenicurus"
"Saxicola rubetra"
"Saxicola torquatus"
"Oenanthe oenanthe"
"Oenanthe hispanica"
"Oenanthe leucura"
"Monticola saxatilis"
"Monticola solitarius"
"Turdus torquatus"
"Turdus merula"
"Turdus pilaris"
"Turdus philomelos"
"Turdus iliacus"
"Turdus viscivorus"
"Cettia cetti"
"Cisticola juncidis"
"Locustella naevia"
"Locustella fluviatilis"
"Locustella luscinioides"
"Acrocephalus melanopogon"
"Acrocephalus paludicola"
"Acrocephalus schoenobaenus"
"Acrocephalus palustris"
"Acrocephalus scirpaceus"
"Acrocephalus arundinaceus"
"Hippolais icterina"
"Hippolais polyglotta"
"Sylvia sarda"
"Sylvia undata"
"Sylvia conspicillata"
"Sylvia cantillans"
"Sylvia melanocephala"
"Sylvia hortensis"
"Sylvia nisoria"
"Sylvia curruca"
"Sylvia communis"
"Sylvia borin"
"Sylvia atricapilla"
"Phylloscopus trochiloides"
"Phylloscopus bonelli"
"Phylloscopus sibilatrix"
"Phylloscopus collybita"
"Phylloscopus trochilus"
"Regulus regulus"
"Regulus ignicapilla"
"Muscicapa striata"
"Ficedula parva"
"Ficedula albicollis"
"Ficedula hypoleuca"
"Panurus biarmicus"
"Aegithalos caudatus"
"Parus palustris"
"Parus montanus"
"Parus cristatus"
"Parus ater"
"Parus caeruleus"
"Parus major"
"Sitta whiteheadi"
"Sitta europaea"
"Tichodroma muraria"
"Certhia familiaris"
"Certhia brachydactyla"
"Remiz pendulinus"
"Oriolus oriolus"
"Lanius collurio"
"Lanius minor"
"Lanius excubitor"
"Lanius senator"
"Garrulus glandarius"
"Pica pica"
"Nucifraga caryocatactes"
"Pyrrhocorax graculus"
"Pyrrhocorax pyrrhocorax"
"Corvus monedula"
"Corvus frugilegus"
"Corvus corone"
"Corvus corax"
"Sturnus vulgaris"
"Sturnus unicolor"
"Sturnus roseus"
"Passer domesticus"
"Passer hispaniolensis"
"Passer montanus"
"Petronia petronia"
"Montifringilla nivalis"
"Fringilla coelebs"
"Fringilla montifringilla"
"Serinus serinus"
"Carduelis citrinella"
"Chloris chloris"
"Carduelis carduelis"
"Carduelis spinus"
"Carduelis cannabina"
"Carduelis flavirostris"
"Carduelis flammea"
"Loxia curvirostra"
"Loxia pytyopsittacus"
"Carpodacus erythrinus"
"Pyrrhula pyrrhula"
"Coccothraustes coccothraustes"
"Calcarius lapponicus"
"Plectrophenax nivalis"
"Emberiza citrinella"
"Emberiza cirlus"
"Emberiza cia"
"Emberiza hortulana"
"Emberiza pusilla"
"Emberiza schoeniclus"
"Emberiza melanocephala"
"Emberiza calandra"
"Puffinus puffinus mauretanicus"
"Pterodroma madeira"
"Pterodroma feae"
"Bulweria bulwerii"
"Puffinus assimilis"
"Pelagodroma marina"
"Oceanodroma castro"
"Phalacrocorax carbo sinensis"
"Phalacrocorax aristotelis desmarestii"
"Phalacrocorax pygmeus"
"Anser albifrons albifrons"
"Anser albifrons flavirostris"
"Branta ruficollis"
"Tadorna ferruginea"
"Histrionicus histrionicus"
"Elanus caeruleus"
"Accipiter gentilis arrigonii"
"Accipiter nisus granti"
"Accipiter brevipes"
"Buteo rufinus"
"Aquila heliaca"
"Aquila adalberti"
"Lagopus mutus pyrenaicus"
"Lagopus mutus helveticus"
"Tetrao tetrix tetrix"
"Tetrao tetrix britannicus"
"Alectoris chukar"
"Alectoris graeca saxatilis"
"Alectoris graeca whitakeri"
"Perdix perdix italica"
"Perdix perdix hispaniensis"
"Chlamydotis undulata"
"Charadrius asiaticus"
"Hoplopterus spinosus"
"Uria aalge ibericus"
"Pterocles orientalis"
"Columba palumbus azorica"
"Columba bollii"
"Columba junoniae"
"Apus caffer"
"Apus unicolor"
"Dendrocopos major canariensis"
"Dendrocopos major thanneri"
"Dendrocopos syriacus"
"Chersophilus duponti"
"Calandrella rufescens"
"Anthus berthelotii"
"Lanius nubicus"
"Troglodytes troglodytes fridariensis"
"Oenanthe isabellina"
"Oenanthe leucopyga"
"Saxicola dacotiae"
"Iduna pallida"
"Hippolais olivetorum"
"Sylvia ruppeli"
"Muscicapa dauurica"
"Ficedula semitorquata"
"Parus lugubris"
"Sitta krueperi"
"Sitta neumayer"
"Emberiza cineracea"
"Emberiza caesia"
"Fringilla coelebs ombriosa"
"Fringilla teydea"
"Serinus canaria"
"Loxia scotica"
"Bucanetes githagineus"
"Pyrrhula murina"
"Cyanopica cyanus"
"Columba trocaz"
"Surnia ulula"
"Strix nebulosa"
"Larus cachinnans"
"Meleagris gallopavo"
"Lagopus lagopus lagopus"
"Lagopus lagopus scoticus"
"Lagopus lagopus hibernica"
"Puffinus yelkouan"
"Alectoris graeca graeca"
"Calidris alpina schinzii"
"Oenanthe cypriaca"
"Sylvia melanothorax"
"Certhia brachydactyla dorotheae"
"Parus ater cypriotes"
"Pycnonotus barbatus"
"Gavia adamsii"
"Procellaria diomedea"
"Puffinus assimilis baroli"
"Polysticta stelleri"
"Somateria spectabilis"
"Accipiter gentilis strigonii"
"Aquila nipalensis"
"Aquila rapax"
"Falco cherrug"
"Falco pelegrinoides"
"Tetrao urogallus cantabricus"
"Anthropoides virgo"
"Glareola nordmanni"
"Charadrius leschenaultii"
"Phalaropus tricolor"
"Tringa cinerea"
"Ketupa zeylonensis"
"Otus brucei"
"Ceryle rudis"
"Melanocorypha bimaculata"
"Melanocorypha leucoptera"
"Anthus novaeseelandiae"
"Motacilla finere"
"Prunella atrogularis"
"Prunella montanella"
"Irania gutturalis"
"Oenanthe finschii"
"Oenanthe pleschanka"
"Tarsiger cyanurus"
"Regulus teneriffae"
"Sylvia sarda balearica"
"Parus cinctus"
"Parus cyanus"
"Sitta tephronota"
"Emberiza aureola"
"Emberiza leucocephalos"
"Emberiza rustica"
"Carduelis hornemanni"
"Loxia leucoptera"
"Pinicola enucleator"
"Rhodopechys githaginea"
"Serinus pusillus"
"Perisoreus infaustus"
"Podiceps caspicus"
"Pterodroma mollis"
"Botaurus lentiginosus"
"Butorides virescens"
"Aix galericulata"
"Alopochen aegyptiacus"
"Anas discors"
"Anser caerulescens"
"Chrysolophus pictus"
"Syrmaticus reevesii"
"Haematopus moquini"
"Calidris fuscicollis"
"Calidris mauri"
"Calidris pusilla"
"Larus delawarensis"
"Sterna fuscata"
"Coccyzus americanus"
"Galerida malabarica"
"Phoenicurus torquata"
"Estrilda astrild"
"Sterna bengalensis"
"Francolinus francolinus"
"Larus michahellis"
"Phylloscopus borealis"
"Chettusia gregaria"
"Platalea leucorodia leucorodia"
"Motacilla citreola"
"Luscinia svecica svecica"
"Nycticorax nycticorax nycticorax"
"Luscinia svecica namnetum"
"Luscinia svecica cyanecula"
"Phylloscopus canariensis"
"Limosa limosa limosa"
"Corvus cornix"
"Limosa limosa islandica"
"Ixobrychus minutus minutus"
"Phylloscopus ibericus"
"Accipiter gentilis gentilis"
"Passer domesticus"
"Passer italiae"
"Carduelis citrinella"
"Chettusia leucura"
"Glareola pratincola pratincola"
"Lagopus mutus mutus"
"Corvus corone"
"Lagopus mutus millaisi"
"Lagopus lagopus rossica"
"Oceanodroma monteiroi"
"Sterna albifrons albifrons"
"Pluvialis apricaria apricaria"
"Accipiter nisus nisus"
"Ardea purpurea purpurea"
"Ardeola ralloides ralloides"
"Fringilla teydea teydea"
"Certhia brachydactyla"
"Grus grus"
"Grus grus grus"
"Larus fuscus fuscus"
"Larus fuscus intermedius"
"Podiceps auritus auritus"
"Fringilla teydea polatzeki"
"Perdix perdix"
"Sylvia undata undata"
"Sylvia undata dartfordiensis"
"Sylvia cantillans moltonii"
"Sylvia cantillans cantillans"
"Regulus regulus sanctaemariae"
"Regulus regulus inermis"
"Regulus regulus azoricus"
"Regulus madeirensis"
"Lanius excubitor excubitor"
"Mergus merganser merganser"
"Lanius excubitor meridionalis"
"Parus ater"
"Fringilla coelebs"
"Dendrocopos major"
"Tetrao urogallus"
"Gelochelidon nilotica nilotica"
"Tetrao urogallus aquitanicus"
"Uria aalge albionis"
"Phoenicopterus roseus"
"Larus fuscus graellsii"
"Podiceps grisegena grisegena"
"Anthus petrosus"
"Ciconia ciconia ciconia"
"Charadrius leschenaultii columbinus"
"Carduelis corsicana"
"Calidris maritima maritima"
"Calidris canutus islandica"
"Calidris alpina alpina"
"Burhinus oedicnemus oedicnemus"
"Branta bernicla hrota"
"Branta bernicla bernicla"
"Troglodytes troglodytes"
"Apus affinis"
"Uria aalge aalge"
"Acrocephalus dumetorum"
"Acrocephalus agricola"
"Carduelis cabaret"
"Charadrius alexandrinus alexandrinus"
"Phalacrocorax carbo carbo"
"Phalacrocorax aristotelis aristotelis"
"Melanitta fusca fusca"
"Iduna caligata"
"Columba palumbus palumbus"
"Botaurus stellaris stellaris"
"Abies nebrodensis"
"Ablepharus kitaibelii"
"Ablepharus kitaibelii fitzingeri"
"Abramis ballerus"
"Abramis bjoerkna"
"Abramis brama"
"Abramis sapa"
"Acanthodactylus erythrurus"
"Acanthodactylus erythrurus belli"
"Acanthodactylus schreiberi"
"Acanthurus monroviae"
"Achondrostoma arcasii"
"Achondrostoma oligolepis"
"Acipenser gueldenstaedtii"
"Acipenser naccarii"
"Acipenser nudiventris"
"Acipenser oxyrinchus"
"Acipenser ruthenus"
"Acipenser stellatus"
"Acipenser sturio"
"Acis nicaeensis"
"Acomys nesiotes"
"Aconitum corsicum"
"Aconitum firmum subsp. moravicum"
"Aconitum napellus subsp. corsicum"
"Actias isabellae"
"Adenophora lilifolia"
"Adonis distorta"
"Aeonium gomerense"
"Aeonium saundersii"
"Aeshna viridis"
"Agama stellio"
"Agathidium pulchellum"
"Agriades glandon aquilo"
"Agrimonia pilosa"
"Aichryson dumosum"
"Aidablennius sphynx"
"Alburnoides bipunctatus"
"Alburnoides bipunctatus thessalicus"
"Alburnus albidus"
"Alburnus alburnus"
"Alburnus alburnus alborella"
"Alburnus alburnus macedonicus"
"Alburnus belvica"
"Alburnus macedonicus"
"Alburnus mandrensis"
"Alburnus mento"
"Alburnus sarmaticus"
"Alburnus schischkovi"
"Alburnus vistonicus"
"Alburnus volviticus"
"Alburnus vulturius"
"Alces alces"
"Aldrovanda vesiculosa"
"Alepocephalus bairdii"
"Algyroides fitzingeri"
"Algyroides marchi"
"Algyroides moreoticus"
"Algyroides nigropunctatus"
"Alisma wahlenbergii"
"Allium grosii"
"Alopex lagopus"
"Alosa agone"
"Alosa algeriensis"
"Alosa alosa"
"Alosa caspia caspia"
"Alosa caspia vistonica"
"Alosa fallax"
"Alosa immaculata"
"Alosa killarnensis"
"Alosa macedonica"
"Alosa maeotica"
"Alosa pontica"
"Alosa tanaica"
"Alosa vistonica"
"Alyssum pintodasilvae"
"Alyssum pyrenaicum"
"Alytes cisternasii"
"Alytes muletensis"
"Alytes obstetricans"
"Ameiurus melas"
"Ameiurus nebulosus"
"Ammi trifoliatum"
"Ammodytes tobianus"
"Anacamptis pyramidalis"
"Anacamptis urvilleana"
"Anaecypris hispanica"
"Anagyris latifolia"
"Anarrhinum longipedicellatum"
"Anatololacerta anatolica"
"Anatololacerta oertzeni"
"Anchusa crispa"
"Androcymbium europaeum"
"Androcymbium gramineum"
"Androcymbium gramineum gramineum"
"Androcymbium psammophilum"
"Androcymbium rechingeri"
"Androsace cylindrica"
"Androsace mathildae"
"Androsace pyrenaica"
"Andryala crithmifolia"
"Anemone slavica"
"Angelica heterocarpa"
"Angelica palustris"
"Anguilla anguilla"
"Anguis fragilis"
"Anguis fragilis fragilis"
"Anisus vorticulus"
"Anthemis glaberrima"
"Anthias anthias"
"Anthrenochernes stellae"
"Anthyllis hystrix"
"Anthyllis lemanniana"
"Anthyllis lusitanica"
"Anthyllis vulneraria subsp. lusitanica"
"Antirrhinum charidemi"
"Antirrhinum lopesianum"
"Apatura metis"
"Aphanius almiriensis"
"Aphanius baeticus"
"Aphanius fasciatus"
"Aphanius iberus"
"Aphanopus carbo"
"Aphia minuta"
"Apium bermejoi"
"Apium repens"
"Apodemus agrarius"
"Apodemus alpicola"
"Apodemus flavicollis"
"Apodemus microps"
"Apodemus sylvaticus"
"Apodemus uralensis"
"Apogon imberbis"
"Apristurus laurussonii"
"Apristurus maderensis"
"Apterichtus anguiformis"
"Apterichtus caecus"
"Apteromantis aptera"
"Aquilegia alpina"
"Aquilegia bertolonii"
"Aquilegia kitaibelii"
"Aquilegia pyrenaica subsp. cazorlensis"
"Arabis kennedyae"
"Arabis sadina"
"Arabis scopoliana"
"Aradus angularis"
"Arceuthobium azoricum"
"Archaeolacerta bedriagae"
"Archaeolacerta mosorensis"
"Archaeolacerta oxycephala"
"Arctagrostis latifolia"
"Arctophila fulva"
"Arenaria ciliata subsp. pseudofrigida"
"Arenaria humifusa"
"Arenaria nevadensis"
"Arenaria provincialis"
"Argyranthemum lidii"
"Argyranthemum pinnatifidum subsp. succulentum"
"Argyranthemum thalassophilum"
"Argyranthemum winteri"
"Argyropelecus hemigymnus"
"Argyrosomus regius"
"Armadillidium ghardalamensis"
"Armeria berlengensis"
"Armeria helodes"
"Armeria littoralis"
"Armeria neglecta"
"Armeria pseudoarmeria"
"Armeria rouyana"
"Armeria sampaioi"
"Armeria soleirolii"
"Armeria velutina"
"Arnica montana"
"Arnoglossus kessleri"
"Artemisia campestris subsp. bottnica"
"Artemisia eriantha"
"Artemisia genipi"
"Artemisia granatensis"
"Artemisia laciniata"
"Artemisia oelandica"
"Artemisia pancicii"
"Arvicola amphibius"
"Arvicola sapidus"
"Arvicola terrestris"
"Arytrura musculus"
"Asphodelus bento-rainhae"
"Aspius aspius"
"Asplenium adulterinum"
"Asplenium hemionitis"
"Asplenium jahandiezii"
"Astacus astacus"
"Aster pyrenaeus"
"Aster sorrentinii"
"Astragalus algarbiensis"
"Astragalus alopecurus"
"Astragalus aquilanus"
"Astragalus centralpinus"
"Astragalus macrocarpus subsp. lefkarensis"
"Astragalus maritimus"
"Astragalus peterfii"
"Astragalus tremolsianus"
"Astragalus verrucosus"
"Asyneuma giganteum"
"Atelerix algirus"
"Atelerix algirus algirus"
"Athamanta cortiana"
"Atherina boyeri"
"Atherina presbyter"
"Atractylis arbuscula"
"Atractylis preauxiana"
"Atropa baetica"
"Aulopyge huegelii"
"Austropotamobius pallipes"
"Austropotamobius torrentium"
"Auxis rochei"
"Auxis rochei rochei"
"Avenula hackelii"
"Awaous commersoni"
"Azorina vidalii"
"Babka gymnotrachelus"
"Baetica ustulata"
"Balaenoptera acutorostrata"
"Balaenoptera borealis"
"Balaenoptera edeni"
"Balaenoptera musculus"
"Balaenoptera physalus"
"Balistes capriscus"
"Balistes carolinensis"
"Barbastella barbastellus"
"Barbastella barbastellus guanchae"
"Barbatula barbatula"
"Barbatula bureschi"
"Barbus albanicus"
"Barbus balcanicus"
"Barbus barbus"
"Barbus bergi"
"Barbus bocagei"
"Barbus caninus"
"Barbus capito"
"Barbus carottae"
"Barbus carpathicus"
"Barbus comizo"
"Barbus cyclolepis"
"Barbus euboicus"
"Barbus graecus"
"Barbus graellsii"
"Barbus guiraonis"
"Barbus haasi"
"Barbus macedonicus"
"Barbus meridionalis"
"Barbus microcephalus"
"Barbus peloponensis"
"Barbus peloponnesius"
"Barbus pergamonensis"
"Barbus petenyi"
"Barbus plebejus"
"Barbus prespensis"
"Barbus rebeli"
"Barbus sclateri"
"Barbus sperchiensis"
"Barbus steindachneri"
"Barbus strumicae"
"Barbus tyberinus"
"Barbus waleckii"
"Bassia saxicola"
"Bathypterois dubius"
"Bathysolea profundicola"
"Bellevalia dubia subsp. hackelii"
"Bellevalia hackelii"
"Belone belone"
"Belone belone belone"
"Bencomia brachystachya"
"Bencomia sphaerocarpa"
"Berberis maderensis"
"Beryx decadactylus"
"Beryx splendens"
"Beta patula"
"Biscutella neustriaca"
"Biscutella sempervirens subsp. vicentina"
"Biscutella vincentina"
"Bison bonasus"
"Blanus cinereus"
"Blanus tingitanus"
"Blenius rouxi"
"Blennius fluviatilis"
"Blennius incognitus"
"Blicca bjoerkna"
"Bodianus scrofa"
"Bolbelasmus unicornis"
"Boleum asperum"
"Bombina bombina"
"Bombina bombina x variegata"
"Bombina pachypus"
"Bombina variegata"
"Borderea chouardii"
"Boros schneideri"
"Bothus podas"
"Bothus podas maderensis"
"Botrychium simplex"
