"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Alopochen aegyptiaca","","C5KM","C5KM","6294B","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen aegyptiaca","(Linnaeus, 1766)","accepted","Alopochen aegyptiaca (Linnaeus, 1766)","GENUS:Alopochen Stejneger, 1885|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Alopochen Stejneger, 1885"
"Oxyura jamaicensis","","4BMPH","4BMPH","6BJS","Oxyura jamaicensis (J. F. Gmelin, 1789)","Oxyura jamaicensis","(J. F. Gmelin, 1789)","accepted","Oxyura jamaicensis (J. F. Gmelin, 1789)","GENUS:Oxyura Bonaparte, 1828|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Oxyura Bonaparte, 1828"
"Threskiornis aethiopicus","","56LQB","56LQB","7WB9","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus","(Latham, 1790)","accepted","Threskiornis aethiopicus (Latham, 1790)","GENUS:Threskiornis G. R. Gray, 1842|SUBFAMILY:Threskiornithinae Poche, 1904|FAMILY:Threskiornithidae Poche, 1904|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae Poche, 1904","Threskiornis G. R. Gray, 1842"
"Myiopsitta monachus","","4532H","4532H","63D34","Myiopsitta monachus (Boddaert, 1783)","Myiopsitta monachus","(Boddaert, 1783)","accepted","Myiopsitta monachus (Boddaert, 1783)","GENUS:Myiopsitta Bonaparte, 1854|FAMILY:Psittacidae|ORDER:Psittaciformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta Bonaparte, 1854"
"Acridotheres cristatellus","","9KHM","9KHM","N9Y","Acridotheres cristatellus (Linnaeus, 1758)","Acridotheres cristatellus","(Linnaeus, 1758)","accepted","Acridotheres cristatellus (Linnaeus, 1758)","GENUS:Acridotheres Vieillot, 1816|FAMILY:Sturnidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Sturnidae Rafinesque, 1815","Acridotheres Vieillot, 1816"
"Puffinus gravis","","BSNKX","BSNKX","75BM","Puffinus gravis (O'Reilly, 1818)","Puffinus gravis","(O'Reilly, 1818)","accepted","Puffinus gravis (O'Reilly, 1818)","GENUS:Puffinus Brisson, 1760|FAMILY:Procellariidae Leach, 1820|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Procellariidae Leach, 1820","Puffinus Brisson, 1760"
"Puffinus griseus","","4QFXR","4QFXR","75BM","Puffinus griseus (Gmelin, 1789)","Puffinus griseus","(Gmelin, 1789)","accepted","Puffinus griseus (Gmelin, 1789)","GENUS:Puffinus Brisson, 1760|FAMILY:Procellariidae Leach, 1820|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Procellariidae Leach, 1820","Puffinus Brisson, 1760"
"Oceanodroma leucorhoa","","48C48","48C48","66DS","Oceanodroma leucorhoa (Vieillot, 1818)","Oceanodroma leucorhoa","(Vieillot, 1818)","accepted","Oceanodroma leucorhoa (Vieillot, 1818)","GENUS:Oceanodroma Reichenbach, 1853|SUBFAMILY:Hydrobatinae|FAMILY:Hydrobatidae Mathews, 1912|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae Mathews, 1912","Oceanodroma Reichenbach, 1853"
"Egretta alba","","6DYPH","GCHR","GCHR","Egretta alba (Linnaeus, 1758)","Egretta alba","(Linnaeus, 1758)","synonym","Ardea alba Linnaeus, 1758","SPECIES:Ardea alba Linnaeus, 1758|GENUS:Ardea Linnaeus, 1758|SUBFAMILY:Ardeinae Leach, 1820|FAMILY:Ardeidae Leach, 1820|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae Leach, 1820","Ardea Linnaeus, 1758"
"Geronticus eremita","","3FWY9","3FWY9","4N7Q","Geronticus eremita (Linnaeus, 1758)","Geronticus eremita","(Linnaeus, 1758)","accepted","Geronticus eremita (Linnaeus, 1758)","GENUS:Geronticus Wagler, 1832|SUBFAMILY:Threskiornithinae Poche, 1904|FAMILY:Threskiornithidae Poche, 1904|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae Poche, 1904","Geronticus Wagler, 1832"
"Anas penelope","","DGP4","9HJGS","9HJGS","Anas penelope Linnaeus, 1758","Anas penelope","Linnaeus, 1758","synonym","Mareca penelope (Linnaeus, 1758)","SPECIES:Mareca penelope (Linnaeus, 1758)|GENUS:Mareca Stephens, 1824|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Mareca Stephens, 1824"
"Anas strepera","","DGPL","B76F3","B76F3","Anas strepera Linnaeus, 1758","Anas strepera","Linnaeus, 1758","synonym","Mareca strepera strepera (Linnaeus, 1758)","SUBSPECIES:Mareca strepera strepera (Linnaeus, 1758)|SPECIES:Mareca strepera (Linnaeus, 1758)|GENUS:Mareca Stephens, 1824|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Mareca Stephens, 1824"
"Anas querquedula","","66KP7","9HKHG","9HKHG","Anas querquedula Linnaeus, 1758","Anas querquedula","Linnaeus, 1758","synonym","Spatula querquedula (Linnaeus, 1758)","SPECIES:Spatula querquedula (Linnaeus, 1758)|GENUS:Spatula F. Boie, 1822|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Spatula F. Boie, 1822"
"Anas clypeata","","DGNC","9HKHD","9HKHD","Anas clypeata Linnaeus, 1758","Anas clypeata","Linnaeus, 1758","synonym","Spatula clypeata (Linnaeus, 1758)","SPECIES:Spatula clypeata (Linnaeus, 1758)|GENUS:Spatula F. Boie, 1822|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Spatula F. Boie, 1822"
"Mergus albellus","","3ZTRK","3ZTRF","3ZTRF","Mergus albellus Linnaeus, 1758","Mergus albellus","Linnaeus, 1758","synonym","Mergellus albellus (Linnaeus, 1758)","SPECIES:Mergellus albellus (Linnaeus, 1758)|GENUS:Mergellus Selby, 1840|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Mergellus Selby, 1840"
"Aquila pomarina","","FZLW","FZLW","ZHL","Aquila pomarina C. L. Brehm, 1831","Aquila pomarina","C. L. Brehm, 1831","accepted","Aquila pomarina C. L. Brehm, 1831","GENUS:Aquila Brisson, 1760|FAMILY:Accipitridae Vigors, 1824|ORDER:Accipitriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Accipitriformes","Accipitridae Vigors, 1824","Aquila Brisson, 1760"
"Aquila clanga","","FZLQ","FZLQ","ZHL","Aquila clanga Pallas, 1811","Aquila clanga","Pallas, 1811","accepted","Aquila clanga Pallas, 1811","GENUS:Aquila Brisson, 1760|FAMILY:Accipitridae Vigors, 1824|ORDER:Accipitriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Accipitriformes","Accipitridae Vigors, 1824","Aquila Brisson, 1760"
"Hieraaetus fasciatus","","3LKLN","FZLR","FZLR","Hieraaetus fasciatus (Vieillot, 1822)","Hieraaetus fasciatus","(Vieillot, 1822)","synonym","Aquila fasciata Vieillot, 1822","SPECIES:Aquila fasciata Vieillot, 1822|GENUS:Aquila Brisson, 1760|FAMILY:Accipitridae Vigors, 1824|ORDER:Accipitriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Accipitriformes","Accipitridae Vigors, 1824","Aquila Brisson, 1760"
"Lagopus mutus","","3RXRB","3RXRB","63836","Lagopus muta (Montin, 1781)","Lagopus muta","(Montin, 1781)","accepted","Lagopus muta (Montin, 1781)","GENUS:Lagopus Brisson, 1760|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus Brisson, 1760"
"Tetrao tetrix","","55QS6","BNMDG","BNMDG","Tetrao tetrix Linnaeus, 1758","Tetrao tetrix","Linnaeus, 1758","synonym","Lyrurus tetrix tetrix (Linnaeus, 1758)","SUBSPECIES:Lyrurus tetrix tetrix (Linnaeus, 1758)|SPECIES:Lyrurus tetrix (Linnaeus, 1758)|GENUS:Lyrurus Swainson, 1832|FAMILY:Phasianidae|ORDER:Galliformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lyrurus Swainson, 1832"
"Turnix sylvatica","","7CZ7G","7CZ7G","83VG","Turnix sylvaticus (Desfontaines, 1789)","Turnix sylvaticus","(Desfontaines, 1789)","accepted","Turnix sylvaticus (Desfontaines, 1789)","GENUS:Turnix Bonnaterre, 1791|FAMILY:Turnicidae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Turnicidae","Turnix Bonnaterre, 1791"
"Porzana parva","","4M2R6","4M2R6","6V2X","Porzana parva (Scopoli, 1769)","Porzana parva","(Scopoli, 1769)","accepted","Porzana parva (Scopoli, 1769)","GENUS:Porzana Vieillot, 1816|FAMILY:Rallidae|ORDER:Gruiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana Vieillot, 1816"
"Porzana pusilla","","4M2R9","4M2R9","6V2X","Porzana pusilla (Pallas, 1776)","Porzana pusilla","(Pallas, 1776)","accepted","Porzana pusilla (Pallas, 1776)","GENUS:Porzana Vieillot, 1816|FAMILY:Rallidae|ORDER:Gruiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana Vieillot, 1816"
"Charadrius morinellus","","TMX9","TMX9","3M7T","Charadrius morinellus Linnaeus, 1758","Charadrius morinellus","Linnaeus, 1758","accepted","Charadrius morinellus Linnaeus, 1758","GENUS:Charadrius Linnaeus, 1758|FAMILY:Charadriidae Leach, 1820|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Charadriidae Leach, 1820","Charadrius Linnaeus, 1758"
"Limicola falcinellus","","72B53","9HKB9","9HKB9","Limicola falcinellus (Pontoppidan, 1763)","Limicola falcinellus","(Pontoppidan, 1763)","synonym","Calidris falcinellus (Pontoppidan, 1763)","SPECIES:Calidris falcinellus (Pontoppidan, 1763)|GENUS:Calidris Merrem, 1804|FAMILY:Scolopacidae Rafinesque, 1815|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae Rafinesque, 1815","Calidris Merrem, 1804"
"Philomachus pugnax","","4G978","9HCHQ","9HCHQ","Philomachus pugnax (Linnaeus, 1758)","Philomachus pugnax","(Linnaeus, 1758)","synonym","Calidris pugnax (Linnaeus, 1758)","SPECIES:Calidris pugnax (Linnaeus, 1758)|GENUS:Calidris Merrem, 1804|FAMILY:Scolopacidae Rafinesque, 1815|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae Rafinesque, 1815","Calidris Merrem, 1804"
"Larus minutus","","3SBQQ","6MJWG","6MJWG","Larus minutus Pallas, 1776","Larus minutus","Pallas, 1776","synonym","Hydrocoloeus minutus (Pallas, 1776)","SPECIES:Hydrocoloeus minutus (Pallas, 1776)|GENUS:Hydrocoloeus Kaup, 1829|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydrocoloeus Kaup, 1829"
"Sterna caspia","","6ZSBP","3N8ZF","3N8ZF","Sterna caspia Pallas, 1770","Sterna caspia","Pallas, 1770","synonym","Hydroprogne caspia (Pallas, 1770)","SPECIES:Hydroprogne caspia (Pallas, 1770)|GENUS:Hydroprogne Kaup, 1829|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne Kaup, 1829"
"Sterna sandvicensis","","6ZSDH","7C5FT","7C5FT","Sterna sandvicensis Latham, 1787","Sterna sandvicensis","Latham, 1787","synonym","Thalasseus sandvicensis (Latham, 1787)","SPECIES:Thalasseus sandvicensis (Latham, 1787)|GENUS:Thalasseus F. Boie, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus F. Boie, 1822"
"Sterna albifrons","","6ZSBH","BP3H4","BP3H4","Sterna albifrons Pallas, 1764","Sterna albifrons","Pallas, 1764","synonym","Sternula albifrons albifrons (Pallas, 1764)","SUBSPECIES:Sternula albifrons albifrons (Pallas, 1764)|SPECIES:Sternula albifrons (Pallas, 1764)|GENUS:Sternula F. Boie, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula F. Boie, 1822"
"Chlidonias hybridus","","5XX6Q","5XX6Q","62M8H","Chlidonias hybrida (Pallas, 1811)","Chlidonias hybrida","(Pallas, 1811)","accepted","Chlidonias hybrida (Pallas, 1811)","GENUS:Chlidonias Rafinesque, 1822|FAMILY:Laridae|ORDER:Charadriiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias Rafinesque, 1822"
"Nyctea scandiaca","","484Y7","NKTJ","NKTJ","Nyctea scandiaca (Linnaeus, 1758)","Nyctea scandiaca","(Linnaeus, 1758)","synonym","Bubo scandiacus (Linnaeus, 1758)","SPECIES:Bubo scandiacus (Linnaeus, 1758)|GENUS:Bubo Duméril, 1805|SUBFAMILY:Striginae|FAMILY:Strigidae|ORDER:Strigiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo Duméril, 1805"
"Dendrocopos medius","","7T2SP","7T2T9","7T2T9","Dendrocopos medius (Linnaeus, 1758)","Dendrocopos medius","(Linnaeus, 1758)","synonym","Dendrocoptes medius (Linnaeus, 1758)","SPECIES:Dendrocoptes medius (Linnaeus, 1758)|GENUS:Dendrocoptes Cabanis & Heine, 1863|SUBFAMILY:Picinae|FAMILY:Picidae|ORDER:Piciformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocoptes Cabanis & Heine, 1863"
"Dendrocopos minor","","7T2SR","7TCSL","7TCSL","Dendrocopos minor (Linnaeus, 1758)","Dendrocopos minor","(Linnaeus, 1758)","synonym","Dryobates minor (Linnaeus, 1758)","SPECIES:Dryobates minor (Linnaeus, 1758)|GENUS:Dryobates F. Boie, 1826|SUBFAMILY:Picinae|FAMILY:Picidae|ORDER:Piciformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates F. Boie, 1826"
"Hirundo daurica","","3M4RF","5XGTW","5XGTW","Hirundo daurica Laxmann, 1769","Hirundo daurica","Laxmann, 1769","synonym","Cecropis daurica (Laxmann, 1769)","SPECIES:Cecropis daurica (Laxmann, 1769)|GENUS:Cecropis F. Boie, 1826|FAMILY:Hirundinidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Hirundinidae Rafinesque, 1815","Cecropis F. Boie, 1826"
"Delichon urbica","","34GHX","34GHX","42MV","Delichon urbicum (Linnaeus, 1758)","Delichon urbicum","(Linnaeus, 1758)","accepted","Delichon urbicum (Linnaeus, 1758)","GENUS:Delichon Moore, 1854|FAMILY:Hirundinidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Hirundinidae Rafinesque, 1815","Delichon Moore, 1854"
"Anthus richardi","","67KF5","67KF5","XJ7","Anthus richardi Vieillot, 1818","Anthus richardi","Vieillot, 1818","accepted","Anthus richardi Vieillot, 1818","GENUS:Anthus Bechstein, 1805|FAMILY:Motacillidae Horsfield, 1821|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Motacillidae Horsfield, 1821","Anthus Bechstein, 1805"
"Luscinia svecica","","3WFWC","3WFWC","5HCK","Luscinia svecica (Linnaeus, 1758)","Luscinia svecica","(Linnaeus, 1758)","accepted","Luscinia svecica (Linnaeus, 1758)","GENUS:Luscinia T. Forster, 1817|FAMILY:Muscicapidae Fleming, 1822|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Muscicapidae Fleming, 1822","Luscinia T. Forster, 1817"
"Parus palustris","","","","","","","","","","","","","","","",""
"Parus montanus","","","","","","","","","","","","","","","",""
"Parus cristatus","","","","","","","","","","","","","","","",""
"Parus ater","","","","","","","","","","","","","","","",""
"Parus caeruleus","","","","","","","","","","","","","","","",""
"Sturnus roseus","","5384P","4DZCM","4DZCM","Sturnus roseus (Linnaeus, 1758)","Sturnus roseus","(Linnaeus, 1758)","synonym","Pastor roseus (Linnaeus, 1758)","SPECIES:Pastor roseus (Linnaeus, 1758)|GENUS:Pastor Temminck, 1815|FAMILY:Sturnidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Sturnidae Rafinesque, 1815","Pastor Temminck, 1815"
"Carduelis spinus","","R6JW","4Z65Y","4Z65Y","Carduelis spinus (Linnaeus, 1758)","Carduelis spinus","(Linnaeus, 1758)","synonym","Spinus spinus (Linnaeus, 1758)","SPECIES:Spinus spinus (Linnaeus, 1758)|GENUS:Spinus Koch, 1816|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Fringillidae Leach, 1820","Spinus Koch, 1816"
"Carduelis cannabina","","R6J6","72F75","72F75","Carduelis cannabina (Linnaeus, 1758)","Carduelis cannabina","(Linnaeus, 1758)","synonym","Linaria cannabina (Linnaeus, 1758)","SPECIES:Linaria cannabina (Linnaeus, 1758)|GENUS:Linaria Bechstein, 1802|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Fringillidae Leach, 1820","Linaria Bechstein, 1802"
"Carduelis flavirostris","","R6JG","6QGKV","6QGKV","Carduelis flavirostris (Linnaeus, 1758)","Carduelis flavirostris","(Linnaeus, 1758)","synonym","Linaria flavirostris (Linnaeus, 1758)","SPECIES:Linaria flavirostris (Linnaeus, 1758)|GENUS:Linaria Bechstein, 1802|FAMILY:Fringillidae Leach, 1820|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Fringillidae Leach, 1820","Linaria Bechstein, 1802"
