"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Lycopodium annotinum","","B9MDS","BBJZB","BBJZB","Lycopodium annotinum L.","Lycopodium annotinum","L.","synonym","Spinulum annotinum subsp. annotinum","SUBSPECIES:Spinulum annotinum subsp. annotinum|SPECIES:Spinulum annotinum (L.) A. Haines|GENUS:Spinulum A. Haines|SUBFAMILY:Lycopodioideae Eaton|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales DC. ex Bercht. & J. Presl","Lycopodiaceae P. Beauv. ex Mirb.","Spinulum A. Haines"
"Lycopodium cernuum","","BBTVQ","B8WPG","B8WPG","Lycopodium cernuum L.","Lycopodium cernuum","L.","synonym","Palhinhaea cernua (L.) Vasc. & Franco","SPECIES:Palhinhaea cernua (L.) Vasc. & Franco|GENUS:Palhinhaea Franco & Vasc.|SUBFAMILY:Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales DC. ex Bercht. & J. Presl","Lycopodiaceae P. Beauv. ex Mirb.","Palhinhaea Franco & Vasc."
"Lycopodium clavatum","","B8WPC","B8WPC","B8WP4","Lycopodium clavatum L.","Lycopodium clavatum","L.","accepted","Lycopodium clavatum L.","GENUS:Lycopodium L.|SUBFAMILY:Lycopodioideae Eaton|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales DC. ex Bercht. & J. Presl","Lycopodiaceae P. Beauv. ex Mirb.","Lycopodium L."
"Lycopodium inundatum","","BBTWM","B9T5J","B9T5J","Lycopodium inundatum L.","Lycopodium inundatum","L.","synonym","Lycopodiella inundata (L.) Holub","SPECIES:Lycopodiella inundata (L.) Holub|GENUS:Lycopodiella Holub|SUBFAMILY:Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales DC. ex Bercht. & J. Presl","Lycopodiaceae P. Beauv. ex Mirb.","Lycopodiella Holub"
"Lycopodium selago","","BBTXD","BBLKJ","BBLKJ","Lycopodium selago L.","Lycopodium selago","L.","synonym","Huperzia selago subsp. selago","SUBSPECIES:Huperzia selago subsp. selago|SPECIES:Huperzia selago (L.) Bernh.|GENUS:Huperzia Bernh.|SUBFAMILY:Huperzioideae W. H. Wagner & Beitel ex B. Øllg.|FAMILY:Lycopodiaceae P. Beauv. ex Mirb.|ORDER:Lycopodiales DC. ex Bercht. & J. Presl|CLASS:Lycopodiopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales DC. ex Bercht. & J. Presl","Lycopodiaceae P. Beauv. ex Mirb.","Huperzia Bernh."
"Lythrum junceum","","6QQTT","6QQTT","5HWH","Lythrum junceum Banks & Sol.","Lythrum junceum","Banks & Sol.","accepted","Lythrum junceum Banks & Sol.","GENUS:Lythrum L.|SUBFAMILY:Lythroideae Juss. ex Arn.|FAMILY:Lythraceae J. St.-Hil.|ORDER:Myrtales Juss. ex Bercht. & J. Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota","Plantae","Tracheophyta","Magnoliopsida","Myrtales Juss. ex Bercht. & J. Presl","Lythraceae J. St.-Hil.","Lythrum L."
"Mabuya vittata","","","","","","","","","","","","","","","",""
"Macroprotodon brevis","","3X8PL","3X8PL","CDKGW","Macroprotodon brevis (Günther, 1862)","Macroprotodon brevis","(Günther, 1862)","accepted","Macroprotodon brevis (Günther, 1862)","GENUS:Macroprotodon|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Macroprotodon"
"Macroprotodon cucullatus","","3X8PM","3X8PM","CDKGW","Macroprotodon cucullatus (Geoffroy Saint-Hilaire, 1827)","Macroprotodon cucullatus","(Geoffroy Saint-Hilaire, 1827)","accepted","Macroprotodon cucullatus (Geoffroy Saint-Hilaire, 1827)","GENUS:Macroprotodon|SUBFAMILY:Colubrinae|FAMILY:Colubridae|SUPERFAMILY:Colubroidea|ORDER:Squamata|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","","Squamata","Colubridae","Macroprotodon"
"Macroprotodon cucullatus brevis","","","","","","","","","","","","","","","",""
